subject,model,mean_accuracy,std_accuracy,n_trials
1,CSP + LDA,0.9711111111111111,0.05799105933644396,45
1,CSP + SVM,0.9688888888888889,0.058962218495207115,45
1,CSP + Logistic Regression,0.9688888888888889,0.058962218495207115,45
2,CSP + LDA,0.8377777777777777,0.19902230162273243,45
2,CSP + SVM,0.8355555555555556,0.20029607714211112,45
2,CSP + Logistic Regression,0.8444444444444444,0.18324913891634048,45
3,CSP + LDA,0.5311111111111111,0.1575898724577013,45
3,CSP + SVM,0.5333333333333333,0.10657403385139377,45
3,CSP + Logistic Regression,0.5222222222222223,0.12422599874998831,45
4,CSP + LDA,0.8533333333333333,0.1395583863831785,45
4,CSP + SVM,0.8955555555555555,0.1184467375221016,45
4,CSP + Logistic Regression,0.8822222222222221,0.11844673752210161,45
5,CSP + LDA,0.49555555555555564,0.14607625270706484,45
5,CSP + SVM,0.4933333333333333,0.16354106215976974,45
5,CSP + Logistic Regression,0.4888888888888889,0.15869840952317443,45
